Mot;Abréviation;Définition
MOUCHON,;s., f., Morv., n.;f.  Moisson,  récolte  des  grains  semés.  Morv.  n.  En  wallon  (Mons),  «  muchon  »,  glane.
MOUCHOUÉ,;s., m., c.-à-d.; m.  Mouchoir.  Le  mouchoir  de  poche  n'est  pas  un  meuble  de  première  nécessité  en  Morvan.  C'est  un  objet  de  luxe  dont  on  se  passe  quelquef.  stoïquement  comme  de  beaucoup  d'autres  choses.  Le  mouchoir  de  cou  qu'on  appelle  fichu  à  Paris  est  le  plus  connu.  Nos  femmes  y  mettent  quelque  recherche  et  le  portent  de  couleur  tran-  chante. Pour  désigner  plus  particulièrement  le  mouchoir  de  poche  on  dit  le  «  mouchou  »,  c.-à-d.  le  moucheur.
MOUCIAU,;s., m., Morv., n.;m.  Morceau,  fragment,  portion  :  «  ain  mouciau  d'  paingn'.  »  Morv.  n.
MOUDARNE,;s., m., Morv., n.;m.  Moderne,  arbre  de  réserve  dans  les  bois  exploités,  plus  vieux  que  le  sur-  taillis et  plus  jeune  que  l'ancien.  Morv.  n.
MOUE,;s., f., Morv., n.;f.  Miire.  Morv.  n.  Chute  de  l'r.  C'est  l's  qui  tombe  dansframboie  pour  framboise.  (Voy.  Moille,  Moure.)
MOUÉCE;s., f., Morv., n.;s.  f.  La  mouche  bourdonnante  est,  je  crois,  le  taon  des  bœufs  dont  le  vol  bruyant  cause  une  véritable  terreur  aux  animaux  qu'elle  poursuit.  «  Môche,  mouéce,  moince  »,  trois  formes  pour  mouche.  Morv.  n.
MOUECER,;a., Morv., n.; a.  Moucher  avec  un  mouchoir  ou  autrement.  Dans  la  région  «  mouéce  »,  mouchoir,  ■  .s'  mouécer  »,  se  mouclier.  Morv.  n.
MOUECHE,;s., f.;s.  f.  Mèche  de  chandelle,  de  lampe,  etc.
3I0UÉCH0TTE,;s., f.;s.  f.  Petite  mèche  de  glui.  Les  couvreurs  en  chaume  réparent  les  toitures  en  pi-  quant des  <x  mouéchottes  »  aux  endroits  faibles.  Mouéchotte  se  dit  pour  une  petite  quantité,  une  poignée  de  paille  préparée  en  glui.
MOUÉILLÀ,;s., m.;s.  m.  Endroit  marécageux,  terrain  mouvant  :  Mollia,  locus  cavus  per  quem  aquœ  docurrunt.  (Duc.  Mollia.)
MOUÉILLAISSE,;s., f.;s.  f.  Endroit  marécageux,  fangeux,  où  l'on  enfonce.  On  trouve  partout  des  «  mouéillaisses  »  dans  nos  vallées  tourbeuses.  Berry  :  «  mollange  »,  boue  liquide.
MOUÉILLAISSER,;n.; v.  n.  Devenir  mou,  mou-  vant, très  humide.  Fréquent,  de  mouiller  tiré  du  1.  fictif  molliare.
MOUÉILLE,;s., f.;s.  f.  Mouille,  terrain  mouvant  sous  lequel  se  trouve  une  eau  souterraine.  Le  thalweg
MOUÉILLER,;V., a.;V.  a.  Mouiller,  humecter.  Mollis  adonné  à  l'ital.  molle  et  à  divers  patois  les  formes  mo,  mol,molh,  moll.  Dans  Palsgr.  :  Wete,  moillé,  moillée.
MOUEILLOU,;adv., fr., adj., Bourg.;Meilleur,  qui  est  au-dessus  du  bon.  S'emploie  substantiv.  comme  en  fr.  «  ç'ô  r  mouéillou  »,  c'est  le  meilleur,  ce  qu'il  y  a  de  mieux.  «  Mouéillou  »  adj.  donne  «  mouéilloure  »  au  fém.  En  Bourg.  «  moillou,  moillouse.  »
MODÉNER,;a., fr.;"v.  a.  Mener,  conduire  ;  «  mouéne-  lu  via  »,  mène-le  vite.  Le  son  oué  reproduit  le  vi.  fr.  oi."
MOUESSE,;s., f., Morv., n.;f.  Trou  dans  une  haie,  ouverture  qui  sert  de  passage  aux  lièvres,  lapins  et  autres  petits  animaux  sauvages.  Morv.  n.  Dans  l'anc.  langue  mue,  musse,  muche,  muscée  =  cachette,  lieu  de  retraite.  Mouesse  n'est  qu'une  variété  locale  de  musse,  terme  de  vénerie  qui  désigne  une  ouverture  servant  de  passage  au  gibier,  un  lieu  où  il  se  blottit  pendant  la  nuit.  C'est  aux  abords  d'une  «  mouesse»  que  les  braconniers  dressent  leurs  pièges  ou  col-  lets.
A;dimin., fr.;"Metz,  «  meussier  » ,  coucher  du  soleil  ou  de  la  lune  et  s'esquiver,  passer  rapidement;  «  meusso  ».  recoin;  —  wallon  :  «  muche,  muchette  »,  cache,  cachette  ;  — anglais  :  mu.sei  =  musse,  qui  corres-  pond au  dimin.  fr.  mussete  :"
3I0UGNER,;a.; v.  a.  Mener,  conduire.  (Voy.  Aimou-  gner,  Enmougner.)
3I0UJ0TTE,;s., f., dimin., fr., fr.; Jaune  de  l'œuf.  Le  mot  est  un  dimin.  du  fr.  moyeu  qui  a  la  même  signification.  En  Berry  «  mojette.  »  Vi.  fr.  mioel,  moiel,  moieu.  Ses  denz  resemblent  Moiel  d'of.
M0ULAC4E,;s., m., c.-à-d., fr.;m.  Action  de  mouler  le  bois  à  feu,  c.-à-d.  d'abattre  les  arbres  et  de  les  débiter  en  bûches  d'une  longueur  déterminée.  Presque  tous  les  habitants  du  Morvan,  pendant  la  saison  d'hiver,  travaillent  au  moulage  des  bois  pour  leur  propre  compte  ou  pour  autrui.  C'est  une  des  meilleures  industries  du  pays.  Le  vi.  fr.  donnait  le  nom  de  mollage  au  salaire  que  recevaient  les  molleurs  ou  mesureurs  du  bois  de  moule  :
MOULE,;s., m.;"s.  m.  Chaque  pied  d'arbre  se  compose  de  deux  parties,  «  le  moule  »  et  «  la  rame.  »  Le  moule  est  le  bois  de  la  tige  et  des  grosses  branches,  façonne  en  biiches  d'une  longueur  réglementaire  ;  la  rame  est  tout  ce  qui  reste.  Les  bois  de  la  con-  trée sont  généralement  exploités  suivant  le  système  dit  de  furetage  et  convertis  en  moule  ou  bois  de  flot  qui  s'en  va  à  Paris.  Le  ternie  moule  est  an-  cien comme  on  peut  le  voir  dans  un  texte  du  XIV""  siècle  cité  par  Ducange  :"
3I0DLÉE,;s., f.;"s.  f.  Bois  moulé  ou  fabriqué  par  les  bûcherons  :  il  y  a  beaucoup  de  «  moulée  »  dans  ce  bois  ;  nous  avons  terminé  la  «  moulée  »  ;  voilà  de  la  bonne  «  moulée.  »"
MOULER,;V., n., dér.; n.  Beugler,  pousser  des  mugisse-  ments. Se  dit  principalement  des  bêtes  à  cornes.  Dans  l'argot  moule  désigne  un  vilain  visage,  un  museau.  Le  verbe  mouliner  signifie  parler  avec  continuité  et  sans  raison.  Le  mot  semble  avoir  quelque  relation  avec  l'ital.  mulinare  =  muser,  et  le  grec  fi-uXkaivttv,  faire  des  grimaces,  dér.  de  fiOXXov,  lippe,  grosse  lèvre.
MOULER.;V., a., fr.; a.  Fabriquer  le  bois  de  moule.  Ce  verbe  est  le  même  que  le  fr.  mouler,  jeter  en  moule.  La  Suisse  rom.  dit  «  moula  »  pour  pré-  senter les  bûches  au  «  moulo  »  =  moule.  Mouler,  en  eft'et,  ce  n'était  pas  fabriquer  mais  mesurer  le  .  bois.  On  le  voit  dans  l'exemple  suivant  :  ■
MOULEUR,;s., m.;"s.  m.  Celui  qui  moule  le  bois,  qui  le  fabrique.  Mouleur  se  dit  absolument  comme  bûcheron.  C'est  un  bon  «  mouleur.  »  Les  «  mou-  leurs »  sont  dans  le  bois.  On  voit  dans  le  Roman  bourgeois  de  Furetière,  -  1.  i,  p.  32,  -  qu'au  XYU""  siècle  le  mouleur  de  bois  était  un  personnage  d'importance,  l'égal  d'un  procureur  du  Châtelet,  et  que  sa  charge  se  vendait  assez  cher.  Ce  mouleur  évidemment  mesurait  et  ne  fabriquait  pas  le  moule."
3I0ULEYER,;a., fr.;"v.  a.  Écraser,  broyer.  S'emploie  plutôt  au  figuré  :  «  sai  mailaidie  1'  mouléyô  »,  sa  maladie  le  broyait.  On  dit  familièrement  en  fr.  je  suis  moulu  de  fatigue,  ou  absolument  je  suis  moulu,  pour  je  suis  écrasé  de  fatigue.  Le  simple  mouler  était  aussi  quelquef.  usité  dans  le  sens  de  mâcher,  manger  ;"
MOULOTTE,;s., f.;s.  f.  Molette,  petit  os  de  forme  ar-  rondie.
MOULUE,;s., f.;s.  f.  Volume  d'eau  nécessaire  pour  moudre,  pluie  très  abondante  :  il  est  tombé  une  «  moulue  »  d'eau.  Subst.  partie,  tiré  de  moudre  par  allusion  à  la  masse  d'eau  qui  fait  marcher  la  meule  d'un  moulin.
MOUXER,;V., a.;V.  a.  Wiener,  conduire  :  «  a  n'  moune  pâ  d'  bru  )i.  il  est  d'humeur  tranquille.  (Voy.  Mou-  çiner.)
MOUNOIE,;s., f.;s.   f.  Monnaie,  argent  en  général.
MOURE,;s., f.;s.  f.  Mûre  sauvage,  fruit  de  la  ronce  qu'on  appelle  quelquefois  la  mûre  à  poux,  très  abondante  dans  le  pays  où  elle  fournit  un  mince  régal  aux  petits  pâtres.  Le  jus  de  ce  fruit  servait  autrefois  à  noircir  les  cuirs  et  était  considéré  comme  un  poison  lorsqu'il  était  cueilli  en  été  :
MOURE.;V., a.;"V.  a.  Moudre,  broyer  le  grain  au  mou-  lin. Le  d  de  moudre  n'est  pas  organique.  Aussi  n'apparaît-il  dans  aucun  des  temps  de  notre  con-  jugaison. Moire,  morre,  mourre,  muirre,  dans  des  chartes  des  XIIP  et  XIV""  siècles."
JIOLUE,;n.; v.  n.  Mourir  :  «  a  vé  moure  ».  il  va  mourir.  (Voy.  Mûri.)
MOURIENNE,;s., f., Morv., n., fr.; Méridienne,  le  milieu  du  jour,  le  temps  qui  s'écoule  entre  la  matinée  et  la  soirée.  Pour  un  pâtre,  faire  la  «  mourienne  »,  c'est  garder  son  bétail  aux  champs  du  matin  au  soir.  Dans  quelques  parties  du  Morv.  n.  on  prononce  mouhiennc  par  la  chute  de  l'r  médial.  Vi.  fr.  merienne,meriane  =  midi  :
MOURILLON,;s., m.;s.  m.  Morve,  humeur  qui  découle  du  nez.-
A;fr.; propos  du  mot  fr.  morne,  nous  remarquerons  que  Mercier,  dans  son  Tableau  de  Paris,  l'emploie  comme  synonyme  de  moi'gue  :
MOURITRE,;n.; v.  n.  ISIourir.  S'emploie  avec  le  pronom  :  «  s'mouritre»  :  a  a  s'ô  laiché  mouritre  »,  il  s'est  laissé  mourir,  il  est  mort.  (Voy.  Moure,  Mûri,  Péritre.)
MOUSER,;V., n., fr., rad.;n.  Muser,  bouder,  faire  la  moue,  la  grimace.  N'est  plus  guère  usité  qu'en  Bour-  gogne, où  l'on  prononce  «  mousai.  »  L'origine  du  verbe  muser  est  très  obscure.  M.  Littré  parait  disposé  à  le  rattacher  à  l'anc.  haut-allem.  muezon,  être  oisif.  Nous  voyons  dans  Ménage  qu'un  de  ses  contemporains  le  dérivait  déjà  de  l'allem.  muss,  oisiveté.  Le  Vayer,  Valois,  Huet,  en  fai-  saient galamment  hommage  aux  Muses  qui,  en  effet,  ne  disposent  que  trop  leurs  adorateurs  à  muser  :  Vacare  inusis,  cela  ne  signifie-t-il  pas  en  bon  fr.  ne  rien  faire  ?  Nous  croyons  que  le  rad.  du  mot  est  mimologique.  Le  vague,  la  souplesse  des  signifie,  le  démontrerait  à  défaut  d'autres  preuves.  Il  est  remarquable  que  les  divers  sens  quelquef.  très  dissemblables  donnés  à  «  muser  »,  sous  des  formes  multiples,  se  suivent  parallèle-  ment dans  le  grec,  dans  le  latin  et  dans  nos  lan-  gues vivantes.  Il  s'agit,  chez  les  ancien?  comme  chez  les  modernes,  d'une  interprétation  qui  se  rattache  plus  ou  moins  manifestement  à  une  façon  d'être  de  la  physionomie  humaine,  des  lèvres,  de  la  bouche,   des   yeux,    du  visage,   à  l'action   de
3I0USSELINE;loc., c.-à-d., loc.; LA) ,  loc.  Parler  avec  prétention  et  gaucherie,  c.-à-d.  manier  grossière-  ment quelque  chose  de  délicat.  Se  dit  des  reve-  nants de  Paris  qui  imitent  le  beau  langage  et  récorchent  à  plaisir.  Cette  loc.  qui  n'est  pas  sans  finesse,  a  peut-être  été  importée  de  la  capitale.  Elle  est  usitée  entre  autres  dans  quelques  localités  des  cantons  de  Montsauche  et  de  Lormes.  Dans  l'argot,  mousseline  désigne  le  pain  blanc  ou  une  pièce  d'argent.
MOUSSER,;V., a.;V.  a.  Garnir  de  mousse.  On  mousse  un  bâtiment  pour  boucher  les  trous,  on  mousse  un  conduit,  un  canal,  un  plancher  pour  empêcher  la  terre  d'y  pénétrer,  etc.
MOUT,;s., m., n., fr., dimin.; Mot,  parole.  ÎMorv.  n.  Le  fr.  motet,  qui  est  un  dimin.  de  mot,  est  prononcé  «  moutet  »  en  Provence.
JIOUTEILLE,;s., f., fr.; f.  ÎMoutellc,  nom  de  la  lotte  et  loche  franche,  cohitis  barhatula.  La  «  mouteille  »  est  très  répandue  dans  les  eaux  vives  du  pays.  Elle  n'atteint  qu'un  très  faible  développement.  Ce  poisson  était  aussi  appelé  vulgairement  barbote,  nom  que  portent  un  assez  grand  nombre  de  familles  dans  le  pays.  En  vi.  fr.  moustele,  mou-  toille  désignait  en  général  le  poisson  de  petite  espèce  :
MOUTELÉ,;adj.; adj.  Marque  de  jaune  et  de  blanc  et  quelquef.  d'autres  couleurs.
MOUTEN;s., f.; s.  f.  Troupeau  de  moutons,  l'espèce  en  général  :  la  «  moutenaille  »  est  chère,  il  y  avait  beaucoup  de  «  moutenaille  »  sur  la  foire,  il  faut  de  la  «  moutenaille  »  dans  un  do-  maine.
MOUTIÉ,;s., f., n.; f.  Moitié.  ]Morv.  n.  (Voy.  Mitié.)
3I0UTTE,;s., f.;s.  f.  ISIotte,  tranche  de  gazon  plus  ou  moins  épaisse  qu'on  lève  sur  le  terrain  et  dont  on  se  sert  pour  différents  usages,  entre  autres  pour  couvrir  le  faite  des  bâtiments  en  chaume.  Se  dit  en  général  pour  exprimer  l'épaisseur  du  terrain  gazonné  :  il  y  a  une  bonne  «  moutte  »  dans  ce  pré,  la  «  moutte  <>
MOUTTER,;V., a.;V.  a.  Motter,  garnir  de  mottes,  de  tranches  de  gazon.
MOUTTOU,;adj., Lang.;"OUSE,  adj.  Motteux,  où  il  y  a  beaucoup  de  mottes  ;  un  champ  «  mouttou  »,  une  terre  «  mouttouse.  »  Lang.  «  amouti  »,  gazonné  ;"
MUGNIÉ,;s., m., Morv., n., Norm.; Meunier.  Dans  le  Morv.  n.  la  forme  la  plus  générale  est  «  meule.  »  Norm.  «  mounier.  »
MUHI,;a., n.;MOUHI,  v.  a.  Mourir.  IMorv.  n.  (Voyez  Mûri.)
MULE,;s., f.;"s.  f.  Engelure  au  talon.  Ce  terme  ne  s'emploie  que  dans  cette  circonstance,  il  n'est  pas  usité  pour  les  engelures  des  doigts  :  «  i  é  lé  mules.  »  Ce  mot  est  dans  Rabelais  :  Tes  maies  mules  ;  il  est  aussi  dans  Montaigne,  -  II,  37  :  -"
3IUL0T,;s.; s.  Mulet,  mule.
MUOSSE,;s., f.;s.  f.  Trou,  petite  ouverture  dans  une  haie   vive,  passage  de    la    volaille  ou  du   gibier.
3IURI,;V., n.;V.  n.  Mourir,  cesser  de  vivre.  La  forme  mûrir  est  très  ancienne.  On  la  rencontre  dans  un  grand  nombre  de  textes  appartenant  au  XIP  siè-  cle et  surtout  dans  les  textes  du  dialecte  normand.  Le  mystère  d'Adam  est  l'un  des  plus  curieux.  Dieu  introduit  le  premier  homme  dans  le  Paradis  et  lui  dit  :
MÛRON,;s., m.;s.  m.  Mûre,  fruit  du  mûrier.
MUSELEAU,;s., m., anc.; m.  Muselière.  Dimin.  de  mu-  sel,  anc.  forme  de  museau,  visage.
3IUSETIAU,;s., m., n., dimin.;m.  Muselière  que  l'on  met  aux  boeufs  qui  servent  à  l'exploitation  des  bois.  Mor-  van  n.  Musetiau  peut  être  aussi  un  dimin.  de  muse  qui  a  quelquef.  désigné  le  visage  humain  ou  la  face,  la  tctc,  le  museau  d'un  animal  :
MUSON,;s., m., fr.; m.  Lambin,  flâneur,  paresseux.  Ce  mot  est  plus  usité  dans  les  villes  du  voisinage  que  dans  nos  campagnes.  Le  terme  rustique  et  syno-  nyme est  c(  buïon  »  ou  «  bujon  »  qui  correspond  au  fr.  buson.  Muson  est  un  augment.  de  musc  qui  j
(ID.;V.;Ib.   XXSII,   V.    II.)
MUTELER,;V., a., Morv., n., fr., fr.;Museler,  mettre  une  muselière  aux  bœufs  de  charroi.  Morv.  n.  Muteler  peut  être  une  syncope  de  museteler.  On  remarquera  cepen-  dant qu'en  fr.  museler  a  le  sens  de  rendre  muet.  La  mutité  est  la  privation  de  la  parole.  Notre  mot  pourrait  donc  se  rattacher  à  l'anc.  fr.  mut  dérivé  du  1.  mutus.
MY,;pron.; pron.  Moi,  me.  CN'oy.  Mi.)
M'ZAULE,;adj., Morv., n., fr.;Où  l'on  mange,  où  l'on  se  régale.  Fête  «  manjouére  »  ou  «  m'zaule  »,  en  Morv.  n.  =  fête  patronale.  En  fr.  mangeoire  est  un  subst.  qui  désigne  l'auge  où  les  animaux  prennent  leur
M'ZEILLE,;s., f., Morv., n.;f.  Mangeaille,  nourriture  des  animaux  et  particulièrement  des  porcs.  Morv.  n.
M'ZOU,;s., m., f., Morv., n.; m.  et  f.  Mangeur,  mangeuse.  Le  fém.  m'zouse  se  prononce  en  quelques  lieux  m'zoure.  Morv.  n.
M'ZUE,;s., f., n.; f.  Mesure.  Chute  de  l'r  dans  la  termi-  naison. ]\Iorv.  n.  n.-o.
M'ZDER,;V., a.;V.  a.  Mesurer,  prendre  mesure  ou  régler  une  quantité  déterminée  en  mesurant.
M'ZDHAJGE,;s., m.;s.  m.  Mesurage,  action  de  mesu-  rer.
NÀGUEILLER,;a., Morv., n.; a.  Mâchonner,  mordre  avec  négligence  sans  manger.  Morv.  n.  «  naguiller.  «  Comp.  avec  le  wallon  «  naguel  »,  remuant,  «  na-  gueler  »,  remuer,  agiter,  et  le  bavarois  nackeln,  nagkeln,  se  mouvoir  en  divers  sens.
NÀHÏER,;V., a., Morv., b., dér.;" Taquiner,  contrarier,  tourmen-  ter. Le  Morv.  b.  qui  a  l'adj.  «  nareillou  »  n'a  pas,  comme  la  région  nivernaise,  le  v.  nâhier  dont  la  véritable  forme  serait  nariller,  dér.  du  bas  1.  narire  qui  signifiait  frotter  ou  froncer  la  narine  en  signe  de  moquerie.  L'anc.  langue  disait  souvent  narilles  pour  narines.  (Duc.  Narire.)  A  Lyon  •(  nasilli  »  a  le  sens  de  regarder  sous  le  nez  avec  impertinence.  Wallon  :  «  nâhi  »,  fatiguer;  —  Berry  :  «  nasiller  »,  épiloguer,  critiquer.  Dans  l'Yonne  :  «  orniller  »,  importuner  en  circonvenant  f[uel([u'un."
NÀHÏOU,;adj., Morv., n.; adj.  Taquin,  contrariant,  d'humeur  difficile.  Morv.  n.  La  chute  de  l'r  mé-  dial  donne  nahîou  pour  narillou.  Wallon  :  ic  nfthihan  »,  importun,  ennuyeux.  Dans  la  région  de  Liège  «  nahieu  »  s'applique  à  celui  qui  va  furetant,  flairant.  (Voy.  Nareillou,  iVâiHoîi.)
NAIGE;loc.; (AI),  loc.  A  nage,  être  trempé  de  sueur,  être  en  nage.  Cette  forme  qui  est  commune  à  plusieurs  patois  contrarie  l'interprétation  qui  traduirait  être  en  âge  pour  être  en  eau.  Aller  à  nage  se  disait  pour  nager  dans  l'anc.  langue,  qu'il  s'agit  de  naviguer,  de  ramer  ou  de  traverser  l'eau  en  nageant  :
NAIGEOU,;s., m.;s.  m.  Routoir,  rouissoir,  lieu  où  l'on  rouit  le  chanvre.  Fourgs  :  «  naijeu.  »  D'une  forme  naiger  pour  noyer,  submerger.  Nassa  dans  quel-  ques textes  de  basse-lat.  a  le  sens  de  pêcherie.  Le  patois  du  Maine  donne  à  «  nas  »  la  même  signi-  fication.
A;Gloss.;" Clamecy,  dit  le  Gloss.  du  Centre,  «  nage  »  se  dit  d'une  certaine  quantité  de  bottes  de  chanvre  préparées  pour  le  rouissage.  Comp.  avec  l'allem.  nass,  humecté,  baigné;  nass  werden,  être  mouillé,  nasseln,  mouiller."
NAIGER,;V., a.;V.  a.  Boucher  hermétiquement,  fer-  mer en  bourrant,  en  calfeutrant.  On  ■(  naige  »  un  trou,  une  fente  avec  de  la  filasse,  de  la  mousse.
NÀILLOU,;adj.;" OUSE,  adj.  Grognon,  mau.ssade,  celui  qui  va  toujours  grommelant;  variante  de  ce  nâhiou  »,  avec  une  signifie,  un  peu  différente.  (Voy.  Nâhïou,  Nareillou.)"
NAIPPE,;s., f., fr.; f.  Nappe.  Comp.  avec  le  berrichon  «  nappe  »,  grande  feuille  de  bardane,  de  nénu-  phar, avec  l'esp.  naipe,  naype,  carte  à  jouer.  En  fr.  le  mot  dérivé  du  1.  mappa  désigne  quelquef.  une  carte.  Il  entre  en  composition  sous  sa  véri-  table forme  dans  mappemonde.
NAIVOTTE,;s., f.;s.  f.  Navette,  plante   oléagineuse.
NAN,;s., m.;s.  m.  Essaim.  Il  y  a  des  ruches  qui  es-  saiment deux  fois  par  an,  qui  jettent  deux  «  nans.  »  Le  mot  «  nan  »  est-il  une  contraction  de  nassan  pour  naissin  ou,  avec  une  prononciation  fortement  nasale,  une  apocope  de  nati  qui  en  1.  désignait  les  petits  des  animaux  ?  Dans  le  droit  féodal,  la  dîme  des  «  nasçans  »  appartenait  quelquef.  au  seigeur.  Nasçan  désignait  le  croit  de  l'année.
NANCIER,;n.; v.  n.  Avoir  souci,  avoir  cure  de
NAQUETTE,;s., f.;NAQUOTTE,  s.  f.  Petite  dent,  dent  d'enfant.  Le  primitif  «  naque  »,  dent,  existe  en  Berry  et  en  Champagne.  Dans  cette  dernière  contrée  «  naque  »  a  pour  dimin  «  naquelle.  »  «  Naquetter  »  signifie  tirer  avec  les  dents,  et  «  na-
NAR,;adj., Morv., n.; adj.  Noir  :  «  aine  zeuman  nare  »,  une  jument  noire.  Morv.  n.
NAEEILLOU,;adj.; OUSE,  adj.  Celui  qui  grogne,  qui  gronde  .sans  cesse.  Le  véritable  sens  du  mot  est  moqueur,  taquin.  De  nareille  pour  narille  =  narine.
NÂSSANCE,;s., f.;s.  f.  Naissance.
NÀSSD,;Morv., n., fr.; passé  du  verbe  naître.  Né,  ger-  mé, levé.  S'emploie  surtout  en  parlant  des  grains  semés  qui  commencent  à  sortir  de  terre  :  «  ain  biau  blé  bin  nâssu  » ,  un  beau  blé  bien  levé.  Morv.  n.  Envi.  fr.  nascu  :
NÂTE,;n., Morv., n.; n.  Naître.  Morv.  n.
NÀYER,;V., a.;V.  a.  Noyer,  enfoncer  dans  l'eau,  sub-  merger.
NÂYOU,;s., m.;s.  m.  Routoir,  rouissoir,  lieu  où  l'on  fpîl  rouir  le  chanvre.  De  nâyer  =  noyer,  submer-  ger. (Voy.  Naigeou.)
NEAN,;s., m., Morv., n.;m.  Croûte  qui  se  forme  sur  la  tête  des  enfants  par  suite  de  maladie  ou  de  malpropreté.  Morv.  n.  n.-o.
NEILLE,;s., f.;s.  f.  Nielle  par  métathèse,  la  nigelle  arvine,  nigella  arvensis  de  Linné.
NEN,;pron.; pron.  pers.  On,  l'on  :  «  nen  fé  deu  bru  »,  on  fait  du  bruit.  Nen  a  été  probablement  une  forme  euphonique  de  en,  comme  l'est  non  de  on.  Quel-  ques personnes  prononcent,  même  dans  les  villes,  non  dit  pour  on  dit.  La  Conférence  agréable  de  deux  paysans  de  Saint-Ouen  donne  constamment  nen  pour  on  :
NÉNIN,;f.;" S.  f.  Nourrice  dans  le  langage  enfan-  tin :  une  bonne  «  ncnin  »  ;  cet  enfant  aime  beau-  coup sa  «  nénin.  »  Faut-il  rattacher  ce  mot  aux  Nénies  des  Romains  ?  La  nénie  était  quelquf.  une  chanson  à  l'usage  des  enfants  (puerornm  nenias,  dans  Horace)  ,  une  dormeuse  chantée  par  les  nourrices.  Les  berceuses,  nanne  ou  niyini  corses,  les  ninnidos  sardes,  les  nannarismata  grecques  sont  un  souvenir  encore  vivant  de  ces  chansons  populaires.  L'enfant  Jésus,  pendant  la  nuit  de  Noël,  a  ses  nénies  en  Italie  et  en  beaucoup  d'autres  contrées  :"
NENTILLE,;s., f., fr.; f.  Lentille.  Presque  partout  le  langage  populaire  a  conservé  la  forme  vicieuse  nenlillc  pour  lentille.  Le  vi.  fr.  avait  l'adj.  lentil-  leux,  marque  de  taches  de  rousseur,  mot  très  expressif  auquel  correspond  notre  mot  «  piolé.  »  La  femelle  du  loup,  dans  le  Roman  de  Renart,
NÉPE,;s., f., fr., fr.;f.  Nèfle,  fruit  du  néflier.  A'i.  fr.  neple,  nesple.  Dans  népe,  l'm  initial  du  1.  mespilum  se  change  en  n,  mais  le  p  que  le  fr.  change  en  f  se  maintient.  Un  nom  de  lieu  en  Nivernais  a  con-  servé la  forme  latine  :  Le  Mesple,  c°-  de  Saint-  Seine.
NEPI,;s., m., Morv., n., Prov., ital.;"Néflier,  apocope  de  népier.  Morv.  n.  n.-o.  En  Lorraine  «  népi  ji,  néflier;  — wallon  :  «  népier  »  ;  —  Prov.  «  nespier  »  ;  —  ital.  nespolo;"
NETEGER,;a., Morv., n., Gloss.;a.  Nettoyer,  rendre  propre.  Morv.  n.  n.-o.  En  rom.  prov.  nefejar,  neteyar.  Limou-  sin :  «  nettéger.  »  Le  Gloss.  du  Centre  a  les  deux  formes  «  nettoyer,  nétégcr.  »  Nous  n'avons  pas  la  troisième  «  netlir.  »  (Voy.  Nétéïer.]
NÉTÉÏER,;a.;" v.  a.  Netloyer,  rendre  net,  propre.  Au  XVIP  siècle,  quelques-uns,  dit  Chifflet  dans  sa  grammaire,  prononçaient  nettéyer.  Il  en  était  de  môme  au  XIV""  siècle  :"
NEU,;s.;" s.  f .  Nuit  :  «  ai  l'entré  d'  neu  » ,  à  la  brune  ;  «  al  6  neu  »,  il  est  nuit.  Dans  Roquefort,  neu  nuit  ;  neuctantement,  nuitamment.  Fr. -Comté,  Lorraine,  Saintonge  :  «  neuf  »  ;  —  Poitou  :  «  neuil,  neut  »  ;  —  Jura  :  «  nat.  net.  »"
NEU,;adj.; E,  adj.  Neuf,  neuve.  Au  fém.  on  fait  légè-  rement sentir  l'e  muet  dans  neue  :  «  al  é  mettu  se  chausses  neû'  »,  il  a  mis  ses  bas  neufs.
NEUCHE,;s., f., Morv., n., loc., b., dimin., fr.;Souche,  tronc  d'arbre  dans  une  partie  du  Morv.  n.  Nœud  des  troncs  raboteux  dans  quelques  loc.  du  l\Iorv.  b.  Le  wal-  lon «  nouck  »  signifie  nœud  en  général  et  excrois-  sance ligneuse.  Le  dimin.  «  nokion  »  désigne  un  morceau,  un  fragment,  le  bout  d'une  chose  comme  le  simple»  noce»  en  Normandie.  «Neuche,  nuche»,  est  identique  au  fr.  nuque  qui  paraît  être  de  source  germanique.  Le  néerlandais  nocke  est  la  colonne  vertébrale  composée  d'os  qu'on  peut  assimiler  a  des  nœuds  d'arbre.  Comp.  avec  l'anglais  nech,  collet,  cou,  et  le  flamand  nek,  nuque.  L'allem.  nacken  fait  penser  au  verbe  n'icken,  branler  la  tête
NEDILLE,;s., m.;s.  m.  Amas  de  balayures,  tas  d'im-  mondices, retrait  où  l'on  jette  les  ordures  de  toute  sorte.  (Voy.  Neuilles.)
